board,row,column,wins,total_games
0,0,0,605,1000
0,0,1,522,1000
0,0,2,595,1000
0,1,0,549,1000
0,1,1,554,1000
0,1,2,526,1000
0,2,0,568,1000
0,2,1,523,1000
0,2,2,595,1000
1,0,0,517,1000
1,0,1,560,1000
1,0,2,521,1000
1,1,0,543,1000
1,1,1,693,1000
1,1,2,576,1000
1,2,0,524,1000
1,2,1,577,1000
1,2,2,511,1000
2,0,0,592,1000
2,0,1,552,1000
2,0,2,583,1000
2,1,0,567,1000
2,1,1,569,1000
2,1,2,544,1000
2,2,0,583,1000
2,2,1,546,1000
2,2,2,591,1000
0,0,0,580,1000
0,0,1,561,1000
0,0,2,599,1000
0,1,0,524,1000
0,1,1,566,1000
0,1,2,542,1000
0,2,0,608,1000
0,2,1,526,1000
0,2,2,579,1000
1,0,0,511,1000
1,0,1,563,1000
1,0,2,551,1000
1,1,0,556,1000
1,1,1,729,1000
1,1,2,537,1000
1,2,0,520,1000
1,2,1,565,1000
1,2,2,536,1000
2,0,0,627,1000
2,0,1,535,1000
2,0,2,600,1000
2,1,0,530,1000
2,1,1,550,1000
2,1,2,545,1000
2,2,0,599,1000
2,2,1,513,1000
2,2,2,625,1000
0,0,0,597,1000
0,0,1,523,1000
0,0,2,582,1000
0,1,0,533,1000
0,1,1,544,1000
0,1,2,554,1000
0,2,0,603,1000
0,2,1,547,1000
0,2,2,579,1000
1,0,0,546,1000
1,0,1,543,1000
1,0,2,535,1000
1,1,0,557,1000
1,1,1,725,1000
1,1,2,567,1000
1,2,0,546,1000
1,2,1,544,1000
1,2,2,519,1000
2,0,0,595,1000
2,0,1,516,1000
2,0,2,578,1000
2,1,0,502,1000
2,1,1,582,1000
2,1,2,513,1000
2,2,0,614,1000
2,2,1,519,1000
2,2,2,598,1000
0,0,0,595,1000
0,0,1,533,1000
0,0,2,598,1000
0,1,0,525,1000
0,1,1,561,1000
0,1,2,554,1000
0,2,0,606,1000
0,2,1,538,1000
0,2,2,592,1000
1,0,0,529,1000
1,0,1,539,1000
1,0,2,553,1000
1,1,0,576,1000
1,1,1,721,1000
1,1,2,562,1000
1,2,0,527,1000
1,2,1,569,1000
1,2,2,550,1000
2,0,0,604,1000
2,0,1,540,1000
2,0,2,605,1000
2,1,0,530,1000
2,1,1,543,1000
2,1,2,538,1000
2,2,0,586,1000
2,2,1,544,1000
2,2,2,608,1000
0,0,0,591,1000
0,0,1,540,1000
0,0,2,574,1000
0,1,0,530,1000
0,1,1,555,1000
0,1,2,542,1000
0,2,0,587,1000
0,2,1,554,1000
0,2,2,578,1000
1,0,0,553,1000
1,0,1,586,1000
1,0,2,541,1000
1,1,0,572,1000
1,1,1,731,1000
1,1,2,560,1000
1,2,0,531,1000
1,2,1,549,1000
1,2,2,533,1000
2,0,0,624,1000
2,0,1,545,1000
2,0,2,577,1000
2,1,0,543,1000
2,1,1,556,1000
2,1,2,522,1000
2,2,0,577,1000
2,2,1,531,1000
2,2,2,593,1000
0,0,0,592,1000
0,0,1,543,1000
0,0,2,620,1000
0,1,0,527,1000
0,1,1,569,1000
0,1,2,536,1000
0,2,0,610,1000
0,2,1,567,1000
0,2,2,595,1000
1,0,0,530,1000
1,0,1,536,1000
1,0,2,537,1000
1,1,0,537,1000
1,1,1,739,1000
1,1,2,554,1000
1,2,0,552,1000
1,2,1,580,1000
1,2,2,526,1000
2,0,0,629,1000
2,0,1,545,1000
2,0,2,590,1000
2,1,0,527,1000
2,1,1,544,1000
2,1,2,546,1000
2,2,0,592,1000
2,2,1,534,1000
2,2,2,601,1000
0,0,0,588,1000
0,0,1,523,1000
0,0,2,614,1000
0,1,0,515,1000
0,1,1,544,1000
0,1,2,537,1000
0,2,0,582,1000
0,2,1,529,1000
0,2,2,588,1000
1,0,0,527,1000
1,0,1,573,1000
1,0,2,522,1000
1,1,0,574,1000
1,1,1,739,1000
1,1,2,571,1000
1,2,0,524,1000
1,2,1,542,1000
1,2,2,532,1000
2,0,0,590,1000
